haskell-foldable1-classes-compat 0.1-37
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-81
haskell-gridtables 0.1.0.0-36
haskell-haddock-library 1.10.0-250
haskell-hashable 1.4.3.0-21
haskell-hourglass 0.2.12-237
haskell-hslua 2.3.0-27
haskell-hslua-aeson 2.3.0.1-10
haskell-hslua-classes 2.3.0-30
haskell-hslua-core 2.3.1-24
haskell-hslua-list 1.1.1-36
haskell-hslua-marshalling 2.3.0-25
haskell-hslua-module-doclayout 1.1.0-30
haskell-hslua-module-path 1.1.0-27
haskell-hslua-module-system 1.1.0.1-1
haskell-hslua-module-text 1.1.0.1-1
haskell-hslua-module-version 1.1.0-27
haskell-hslua-module-zip 1.1.0-26
haskell-hslua-objectorientation 2.3.0-25
haskell-hslua-packaging 2.3.0-25
haskell-hslua-repl 0.1.1-24
haskell-hslua-typing 0.1.0-25
haskell-http-api-data 0.5.1-33
haskell-http-client 0.7.15-1
haskell-http-client-tls 0.3.6.3-32
haskell-http-date 0.0.11-127
haskell-http-media 0.8.1.1-5
haskell-http-types 0.12.3-326
haskell-http2 4.0.0-1
haskell-hunit 1.6.2.0-209
haskell-indexed-traversable 0.1.3-29
haskell-indexed-traversable-instances 0.1.1.2-24
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-73
haskell-ipynb 0.2-118
haskell-isocline 1.0.9-1
haskell-jira-wiki-markup 1.5.1-13
haskell-juicypixels 3.3.8-22
haskell-lexer 1.1.1-1
haskell-libyaml 0.1.2-325
haskell-lpeg 1.0.4-16
haskell-lua 2.3.1-13
haskell-memory 0.17.0-59
haskell-mime-types 0.1.2.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-93
haskell-mono-traversable 1.0.15.3-152
haskell-network 3.1.4.0-11
haskell-network-byte-order 0.1.7-1
haskell-network-uri 2.6.4.2-21
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-66
haskell-only 0.1-22
haskell-optparse-applicative 0.17.1.0-8
haskell-ordered-containers 0.2.3-1
haskell-pandoc 3.1.6-15
haskell-pandoc-lua-engine 0.2.1-15
haskell-pandoc-lua-marshal 0.2.2-38
haskell-pandoc-server 0.1.0.1-14
haskell-pandoc-types 1.23.1-1
haskell-pem 0.2.4-276
haskell-pretty-show 1.10-14
haskell-prettyprinter 1.7.1-145
haskell-primitive 0.7.4.0-93
haskell-psqueues 0.2.8.0-1
haskell-quickcheck 2.14.3-39
haskell-random 1.2.1.1-140
haskell-recv 0.1.0-21
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.2.2-24
haskell-resourcet 1.2.6-42
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.4-12
haskell-scientific 0.3.7.0-104
haskell-semialign 1.2.0.1-140
haskell-semigroupoids 5.3.7-122
haskell-servant 0.19.1-66
haskell-servant-server 0.19.2-117
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.32-11
haskell-singleton-bool 0.1.7-2
haskell-skylighting 0.13.4.1-3
haskell-skylighting-core 0.13.4.1-3
haskell-skylighting-format-ansi 0.1-95
haskell-skylighting-format-blaze-html 0.1.1.1-28
haskell-skylighting-format-context 0.1.0.2-60
haskell-skylighting-format-latex 0.1-95
haskell-socks 0.6.1-228
haskell-some 1.0.5-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.4-7
haskell-splitmix 0.1.0.5-4
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.6-17
haskell-strict 0.4.0.1-200
haskell-string-conversions 0.4.0.1-162
haskell-syb 0.7.2.3-22
haskell-tagged 0.8.8-1
haskell-tagsoup 0.14.8-217
haskell-temporary 1.3-558
haskell-texmath 0.12.8.2-3
haskell-text-conversions 0.3.1.1-53
haskell-text-icu 0.8.0.4-8
haskell-text-short 0.1.5-70
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-34
haskell-th-lift 0.8.4-1
haskell-th-lift-instances 0.1.20-38
haskell-these 1.1.1.1-227
haskell-time-compat 1.9.6.1-88
haskell-time-manager 0.0.1-20
haskell-tls 1.8.0-16
haskell-toml-parser 1.3.1.1-1
haskell-transformers-base 0.4.6-93
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.11.1-5
haskell-typst 0.3.2.1-3
haskell-typst-symbols 0.1.4-1
haskell-unicode-collation 0.1.3.6-1
haskell-unicode-data 0.4.0.1-24
haskell-unicode-transforms 0.4.0.1-63
haskell-uniplate 1.6.13-204
haskell-unix-compat 0.7-24
haskell-unix-time 0.4.11-10
haskell-unliftio 0.2.25.0-1
haskell-unliftio-core 0.2.1.0-1
haskell-unordered-containers 0.2.19.1-87
haskell-utf8-string 1.0.2-141
haskell-uuid-types 1.0.5.1-7
haskell-vault 0.3.1.5-166
haskell-vector 0.13.1.0-10
haskell-vector-algorithms 0.9.0.1-74
haskell-vector-stream 0.1.0.0-1
haskell-wai 3.2.3-216
haskell-wai-app-static 3.1.8-37
haskell-wai-cors 0.2.7-333
haskell-wai-extra 3.1.13.0-216
haskell-wai-logger 2.4.0-367
haskell-warp 3.3.30-24
haskell-witherable 0.4.2-81
haskell-word8 0.1.3-22
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.3-28
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.11.2-23
haskell-zip-archive 0.4.3-17
haskell-zlib 0.6.3.0-51
haveged 1.9.18-1
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hollywood 1.21-7
hslua-cli 1.4.1-25
htop 3.2.2-1
http-parser 2.9.4-1
hugo 0.121.1-1
hunspell 1.7.2-1
hwdata 0.377-1
hwdetect 2023.07.02-1
hwinfo 23.2-1
hwloc 2.10.0-1
hyphen 2.8.8-5
i3-wm 4.23-1
i3blocks 1.5-4
i3lock 2.14.1-1
i3status 2.14-1
iana-etc 20231117-1
icu 74.2-1
ijs 0.35-5
imagemagick 7.1.1.24-1
imath 3.1.9-2
imlib2 1.12.1-1
inetutils 2.4-2
intel-ucode 20231114-1
intltool 0.51.0-6
inxi 3.3.31.1-1
iproute2 6.6.0-2
iptables-nft 1:1.8.10-1
iputils 20231222-2
ipython 8.19.0-1
iso-codes 4.15.0-1
itstool 1:2.0.7-1
iwd 2.12-1
jansson 2.14-2
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
jp2a 1.1.1-2
jq 1.7.1-1
jre8-openjdk 8.392.u08-1
jre8-openjdk-headless 8.392.u08-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jupyter-nbclient 0.9.0-1
jupyter-nbconvert 7.13.1-1
